,,Depth (cm),,,,,,,,,,,,,
,Taxa,0.21,0.28,0.34,0.60,1.17,1.46,1.64,1.80,2.52,2.66,3.00,3.33,3.53,3.65
High Order,cellular organisms,5360,4692,5581,9040,9120,6836,5788,7375,4407,1728,5994,2004,1583,3398
Bacteria,Bacteria,22117,18993,21850,35109,32752,27629,21340,22086,16229,5477,5994,7544,4490,11063
,Acidobacteria,143,155,106,262,65,64,63,84,20,13,15850,16,9,23
,Acidobacteria incertae sedis,0,0,0,0,1,1,4,1,0,0,63,1,0,0
,Acidobacteriia,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Acidobacteriales,1,4,7,2,4,7,0,5,0,0,0,0,0,2
,Acidobacteriaceae,120,96,105,202,47,43,44,52,17,13,8,9,6,15
,Acidobacterium,0,0,4,0,3,2,4,1,1,2,41,3,0,1
,Acidobacterium capsulatum,228,192,185,381,188,164,100,104,67,25,6,26,21,72
,"environmental samples <bacteria,genus Acidobacterium>",0,0,0,0,0,0,0,0,0,0,109,0,0,0
,uncultured Acidobacterium sp.,13,8,0,22,0,6,0,7,0,0,0,0,0,0
,Candidatus Koribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Candidatus Koribacter versatilis,349,260,283,574,207,185,122,141,98,31,0,51,21,66
,"environmental samples <bacteria,family Acidobacteriaceae>",0,0,0,1,0,0,0,0,0,0,150,0,0,0
,uncultured Acidobacteriaceae bacterium,26,21,6,38,6,0,11,12,6,0,0,0,0,0
,Granulicella,24,12,13,23,9,9,4,4,6,2,6,2,1,2
,Granulicella mallensis,202,182,180,293,149,154,80,99,86,31,4,39,15,40
,Granulicella tundricola,130,127,192,230,144,150,102,97,59,17,88,30,19,44
,Terriglobus,12,6,12,14,8,5,2,4,13,2,67,0,3,1
,Terriglobus roseus,234,213,232,356,189,157,107,113,72,20,4,39,31,68
,Terriglobus saanensis,96,94,101,190,64,74,46,63,40,13,96,16,0,26
,"environmental samples <bacteria,order Acidobacteriales>",2,0,0,9,0,0,1,0,0,0,46,0,0,0
,uncultured Acidobacteriales bacterium HF0200_23L05,5,0,0,10,0,0,5,0,0,0,0,0,0,0
,Bryobacterales,0,0,0,0,0,0,0,2,0,0,0,0,0,0
,Solibacteraceae,0,0,1,0,0,1,0,6,0,0,0,0,0,1
,Candidatus Solibacter,1,2,1,1,0,3,2,1,1,0,0,1,0,0
,Candidatus Solibacter usitatus,897,790,823,1382,459,551,386,463,267,97,0,128,59,188
,Blastocatellia,0,0,0,0,0,0,0,0,0,0,414,0,0,0
,Chloracidobacterium,0,0,0,2,0,0,0,0,0,0,0,0,1,0
